id,group,group_en,topic,name_vi,name_en,definition_vi,definition_en,wrong_example,correct_example,feedback_vi,feedback_en,diagnostic_question,diagnostic_question_en,diagnostic_answer
ALG-DIST-01,Phân phối,Distribution,Đại số cơ bản,Không phân phối cho mọi hạng tử,Incomplete distribution,Chỉ nhân thừa số bên ngoài với một hạng tử trong ngoặc rồi giữ nguyên các hạng tử còn lại.,The outside factor is multiplied into only one term inside the bracket while the other terms are left untouched.,3(x+2) -> 3x+2,3(x+2) -> 3x+6,"Khi nhân một số với tổng, số đó phải nhân với TẤT CẢ các hạng tử trong ngoặc, không chỉ hạng tử đầu tiên.","When multiplying a number by a sum, that number multiplies EVERY term inside the bracket, not just the first one.",Khai triển 5(x+3),Expand 5(x+3),5x+15
ALG-DIST-02,Phân phối,Distribution,Đại số cơ bản,Phân phối dấu trừ sai,Minus sign not distributed,Khi bỏ ngoặc sau dấu trừ chỉ đổi dấu hạng tử đầu tiên.,When removing a bracket after a minus sign only the first term changes sign.,-(x+2) -> -x+2,-(x+2) -> -x-2,"Dấu trừ trước ngoặc đổi dấu MỌI hạng tử bên trong, không chỉ hạng tử đầu.","A minus sign in front of a bracket flips the sign of EVERY term inside, not just the first.",Bỏ ngoặc: 10-(x+4),Remove the bracket: 10-(x+4),6-x
ALG-EXP-01,Khai triển,Expansion,Hằng đẳng thức,Thiếu hạng tử giữa khi bình phương tổng,Missing middle term when squaring a sum,Coi bình phương của tổng bằng tổng các bình phương và bỏ mất hạng tử tích chéo.,Treating the square of a sum as the sum of squares and dropping the cross term.,(x+2)^2 -> x^2+4,(x+2)^2 -> x^2+4x+4,"Bình phương của một tổng KHÔNG bằng tổng các bình phương. Còn hạng tử giữa 2ab: (a+b)^2 = a^2+2ab+b^2.",The square of a sum is NOT the sum of squares. The middle term 2ab is still there: (a+b)^2 = a^2+2ab+b^2.,Khai triển (x+3)^2,Expand (x+3)^2,x^2+6x+9
ALG-EXP-02,Khai triển,Expansion,Hằng đẳng thức,Thiếu hạng tử giữa khi bình phương hiệu,Missing middle term when squaring a difference,Coi bình phương của hiệu bằng hiệu các bình phương.,Treating the square of a difference as the difference of squares.,(x-2)^2 -> x^2-4,(x-2)^2 -> x^2-4x+4,"(a-b)^2 = a^2-2ab+b^2. Hạng tử giữa mang dấu trừ nhưng vẫn phải có.",(a-b)^2 = a^2-2ab+b^2. The middle term is negative but it must still be written.,Khai triển (x-5)^2,Expand (x-5)^2,x^2-10x+25
ALG-SIGN-01,Dấu và chuyển vế,Signs and rearranging,Phương trình,Chuyển vế không đổi dấu,Moving a term without changing its sign,Chuyển một hạng tử sang vế kia mà giữ nguyên dấu cũ.,A term is moved to the other side of the equation while keeping its original sign.,x+3=5 -> x=5+3,x+3=5 -> x=5-3,Chuyển một hạng tử qua dấu bằng thì phải ĐỔI DẤU hạng tử đó.,Moving a term across the equals sign FLIPS its sign.,Giải: x+7=12,Solve: x+7=12,x=5
ALG-SIGN-02,Dấu và chuyển vế,Signs and rearranging,Phương trình,Nhân hai vế với số âm nhưng chỉ đổi dấu một phần,Partial sign flip when multiplying by a negative,Khi nhân hoặc chia hai vế cho số âm chỉ đổi dấu một số hạng tử.,When both sides are multiplied or divided by a negative number only some terms change sign.,-x+2=5 -> x+2=-5,-x+2=5 -> x-2=-5,Nhân hai vế với -1 thì MỌI hạng tử ở cả hai vế đều đổi dấu.,Multiplying both sides by -1 flips the sign of EVERY term on both sides.,Giải: -x+4=9,Solve: -x+4=9,x=-5
ALG-FRAC-01,Phân thức,Fractions,Phân thức,Khử hạng tử không hợp lệ,Cancelling a term instead of a factor,Rút gọn một hạng tử của tử với mẫu trong khi tử là một tổng chưa phân tích thành nhân tử.,A single term of the numerator is cancelled against the denominator while the numerator is still an unfactored sum.,(x+2)/x -> 2,(x+2)/x -> 1+2/x,"Chỉ được rút gọn NHÂN TỬ CHUNG của cả tử và mẫu. Trong một tổng chưa phân tích, không được gạch từng hạng tử.","Only a COMMON FACTOR of the whole numerator and denominator can be cancelled. In an unfactored sum, individual terms cannot be crossed out.",Rút gọn (3x+6)/3,Simplify (3x+6)/3,x+2
ALG-FRAC-02,Phân thức,Fractions,Phân thức,Cộng phân thức bằng cách cộng tử và cộng mẫu,Adding numerators and denominators,Cộng hai phân thức bằng cách cộng tử với tử và mẫu với mẫu.,Two fractions are added by adding numerator to numerator and denominator to denominator.,a/b+c/d -> (a+c)/(b+d),a/b+c/d -> (ad+bc)/(bd),"Muốn cộng phân thức phải quy đồng mẫu, không cộng mẫu với mẫu.","To add fractions you need a common denominator, not the sum of the denominators.",Tính 1/2+1/3,Compute 1/2+1/3,5/6
ALG-FRAC-03,Phân thức,Fractions,Phân thức,Nghịch đảo của tổng bằng tổng nghịch đảo,Reciprocal of a sum as sum of reciprocals,Cho rằng 1/a+1/b bằng 1/(a+b).,Believing that 1/a+1/b equals 1/(a+b).,1/x+1/y -> 1/(x+y),1/x+1/y -> (x+y)/(xy),1/a+1/b khác 1/(a+b). Hãy quy đồng: (a+b)/(ab).,1/a+1/b is not 1/(a+b). Put them over a common denominator: (a+b)/(ab).,Tính 1/4+1/5,Compute 1/4+1/5,9/20
ALG-POW-01,Lũy thừa,Exponents,Lũy thừa,Cộng số mũ khi cộng hai lũy thừa,Adding exponents when adding powers,Áp dụng quy tắc nhân lũy thừa cho phép cộng.,The rule for multiplying powers is applied to a sum.,x^2+x^3 -> x^5,x^2+x^3 -> x^2(1+x),Quy tắc cộng số mũ chỉ dùng khi NHÂN: a^m·a^n = a^(m+n). Phép cộng không rút gọn được như vậy.,Exponents add only under MULTIPLICATION: a^m·a^n = a^(m+n). Addition does not simplify this way.,Rút gọn x^3·x^4,Simplify x^3·x^4,x^7
ALG-POW-02,Lũy thừa,Exponents,Lũy thừa,Nhân số mũ khi nhân hai lũy thừa,Multiplying exponents when multiplying powers,Nhân số mũ thay vì cộng khi nhân hai lũy thừa cùng cơ số.,Exponents are multiplied instead of added when two powers with the same base are multiplied.,x^2·x^3 -> x^6,x^2·x^3 -> x^5,Nhân cùng cơ số thì CỘNG số mũ; nhân số mũ là quy tắc của lũy thừa của lũy thừa.,Same base multiplied means ADD the exponents. Multiplying exponents is the rule for a power of a power.,Rút gọn x^5·x^2,Simplify x^5·x^2,x^7
ALG-POW-03,Lũy thừa,Exponents,Lũy thừa,Cộng số mũ khi nâng lũy thừa lên lũy thừa,Adding exponents in a power of a power,Cộng số mũ trong (a^m)^n thay vì nhân.,Exponents are added in (a^m)^n instead of multiplied.,(x^2)^3 -> x^5,(x^2)^3 -> x^6,(a^m)^n = a^(m·n). Ở đây phải NHÂN hai số mũ.,(a^m)^n = a^(m·n). Here the two exponents MULTIPLY.,Rút gọn (x^3)^4,Simplify (x^3)^4,x^12
ALG-POW-04,Lũy thừa,Exponents,Lũy thừa,Lũy thừa của tổng bằng tổng lũy thừa,Distributing an exponent over a sum,Phân phối số mũ vào từng hạng tử của một tổng.,The exponent is distributed into each term of a sum.,(x+y)^3 -> x^3+y^3,(x+y)^3 -> x^3+3x^2y+3xy^2+y^3,"Số mũ KHÔNG phân phối được vào phép cộng, chỉ phân phối được vào phép nhân.","Exponents do NOT distribute over addition, only over multiplication.",Khai triển (x+1)^3,Expand (x+1)^3,x^3+3x^2+3x+1
ALG-RAD-01,Căn thức,Radicals,Căn thức,Căn của tổng bằng tổng các căn,Square root of a sum split into roots,Tách căn bậc hai của một tổng thành tổng hai căn.,The square root of a sum is split into a sum of two roots.,sqrt(x+y) -> sqrt(x)+sqrt(y),sqrt(x+y) -> sqrt(x+y),"Căn thức chỉ tách được qua phép NHÂN và CHIA, không tách qua phép cộng.","Roots split over MULTIPLICATION and DIVISION only, never over addition.",Rút gọn sqrt(9x^2) với x>0,Simplify sqrt(9x^2) where x>0,3x
ALG-RAD-02,Căn thức,Radicals,Căn thức,Bỏ trị tuyệt đối khi khai căn bình phương,Dropping absolute value when taking a square root,Viết sqrt(a^2)=a mà không xét dấu của a.,Writing sqrt(a^2)=a without considering the sign of a.,sqrt(x^2) -> x,sqrt(x^2) -> |x|,sqrt(a^2) = |a|. Chỉ bỏ được trị tuyệt đối khi đã biết a không âm.,sqrt(a^2) = |a|. The absolute value can only be dropped once a is known to be non-negative.,Tính sqrt((-6)^2),Compute sqrt((-6)^2),6
ALG-EQ-01,Biến đổi phương trình,Equation transformations,Phương trình,Chia hai vế cho biểu thức chứa ẩn làm mất nghiệm,Dividing by an expression containing the unknown,Chia cả hai vế cho một biểu thức có thể bằng 0 nên mất nghiệm.,Both sides are divided by an expression that may be zero so a root is lost.,x^2=3x -> x=3,x^2=3x -> x(x-3)=0 -> x=0 hoặc x=3,Chia hai vế cho biểu thức chứa ẩn có thể làm MẤT nghiệm. Hãy chuyển vế và phân tích thành nhân tử.,Dividing both sides by an expression with the unknown can LOSE a root. Move everything to one side and factor instead.,Giải x^2=5x,Solve x^2=5x,x=0 hoặc x=5
ALG-EQ-02,Biến đổi phương trình,Equation transformations,Phương trình,Bình phương hai vế sinh nghiệm ngoại lai,Squaring both sides creating extraneous roots,Bình phương hai vế mà không thử lại nghiệm.,Both sides are squared without checking the roots afterwards.,sqrt(x)=-2 -> x=4,sqrt(x)=-2 -> vô nghiệm,Bình phương hai vế có thể sinh thêm nghiệm lạ. Luôn thử lại nghiệm vào phương trình ban đầu.,Squaring both sides can create roots that were never there. Always substitute back into the original equation.,Phương trình sqrt(x)=-3 có bao nhiêu nghiệm thực,How many real roots does sqrt(x)=-3 have,0
